release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,release_month,profit,roi,movie_id,primary_title,genres
"Mar 23, 2012",The Hunger Games,80000000,408010692,677923379,2012,Mar,597923379,747.4,tt1392170,The Hunger Games,"Action,Adventure,Sci-Fi"
"May 26, 2011",The Hangover Part II,80000000,254464305,586464305,2011,May,506464305,633.08,tt1411697,The Hangover Part II,"Comedy,Mystery"
"Feb 10, 2017",The Lego Batman Movie,80000000,175750384,310660018,2017,Feb,230660018,288.33,tt4116284,The Lego Batman Movie,"Action,Animation,Comedy"
"Sep 25, 2015",Hotel Transylvania 2,80000000,169700110,469500298,2015,Sep,389500298,486.88,tt2510894,Hotel Transylvania 2,"Animation,Comedy,Family"
"Jul 12, 2013",Grown Ups 2,80000000,133668525,247023808,2013,Jul,167023808,208.78,tt2191701,Grown Ups 2,Comedy
"Dec 16, 2011",Alvin and the Chipmunks: Chipwrecked,80000000,133107389,349088523,2011,Dec,269088523,336.36,tt1615918,Alvin and the Chipmunks: Chipwrecked,"Adventure,Animation,Comedy"
"Feb 19, 2010",Shutter Island,80000000,128012934,299461782,2010,Feb,219461782,274.33,tt1130884,Shutter Island,"Mystery,Thriller"
"Feb 10, 2012",Journey 2: The Mysterious Island,79000000,103860290,318146162,2012,Feb,239146162,302.72,tt1397514,Journey 2: The Mysterious Island,"Action,Adventure,Comedy"
"Sep 27, 2013",Cloudy with a Chance of Meatballs 2,78000000,119793567,274392649,2013,Sep,196392649,251.79,tt1985966,Cloudy with a Chance of Meatballs 2,"Adventure,Animation,Comedy"
"Jul 3, 2013",Despicable Me 2,76000000,368065385,975216835,2013,Jul,899216835,1183.18,tt1690953,Despicable Me 2,"Adventure,Animation,Comedy"
"Jul 8, 2016",The Secret Life of Pets,75000000,368384330,886750534,2016,Jul,811750534,1082.33,tt2709768,The Secret Life of Pets,"Adventure,Animation,Comedy"
"Dec 21, 2016",Sing,75000000,270329045,634454789,2016,Dec,559454789,745.94,tt3470600,Sing,"Animation,Comedy,Family"
"Jun 30, 2017",Despicable Me 3,75000000,264624300,1034727750,2017,Jun,959727750,1279.64,tt3469046,Despicable Me 3,"Adventure,Animation,Comedy"
"Jun 25, 2010",Grown Ups,75000000,162001186,272223430,2010,Jun,197223430,262.96,tt1375670,Grown Ups,Comedy
"Jun 27, 2008",Wanted,75000000,134508551,342416460,2008,Jun,267416460,356.56,tt1737267,Wanted,Action
"May 31, 2013",Now You See Me,75000000,117723989,342769200,2013,May,267769200,357.03,tt1670345,Now You See Me,"Crime,Mystery,Thriller"
"Jul 10, 2015",Minions,74000000,336045770,1160336173,2015,Jul,1086336173,1468.02,tt2293640,Minions,"Adventure,Animation,Comedy"
"Feb 6, 2015",The SpongeBob Movie: Sponge Out of Water,74000000,162994032,311013181,2015,Feb,237013181,320.29,tt2279373,The SpongeBob Movie: Sponge Out of Water,"Adventure,Animation,Comedy"
"Nov 22, 2000",Unbreakable,73243106,94999143,248099143,2000,Nov,174856037,238.73,tt4097114,Unbreakable,"Adventure,Biography,Documentary"
"May 20, 2016",The Angry Birds Movie,73000000,107509366,352327887,2016,May,279327887,382.64,tt1985949,The Angry Birds Movie,"Action,Animation,Comedy"
"Oct 10, 2014",Dracula Untold,70000000,55991880,220241723,2014,Oct,150241723,214.63,tt0829150,Dracula Untold,"Action,Drama,Fantasy"
"Jul 9, 2010",Despicable Me,69000000,251513985,543464573,2010,Jul,474464573,687.63,tt1323594,Despicable Me,"Animation,Comedy,Family"
"Jun 30, 2010",The Twilight Saga: Eclipse,68000000,300531751,706102828,2010,Jun,638102828,938.39,tt1325004,The Twilight Saga: Eclipse,"Adventure,Drama,Fantasy"
"Jun 26, 2015",Ted 2,68000000,81476385,217214143,2015,Jun,149214143,219.43,tt2637276,Ted 2,Comedy
"Dec 15, 2000",What Women Want,65000000,182805123,374105123,2000,Dec,309105123,475.55,tt1667150,What Women Want,"Comedy,Romance,Sci-Fi"
"Nov 9, 2012",Lincoln,65000000,182207973,273346281,2012,Nov,208346281,320.53,tt0443272,Lincoln,"Biography,Drama,History"
"Mar 15, 2002",Ice Age,65000000,176387405,386116343,2002,Mar,321116343,494.03,tt4418168,Ice Age,"Crime,Drama,Family"
"Jul 13, 2018",Hotel Transylvania 3: Summer Vacation,65000000,167500092,527079962,2018,Jul,462079962,710.89,tt5220122,Hotel Transylvania 3: Summer Vacation,"Adventure,Animation,Comedy"
"Nov 5, 2010",Due Date,65000000,100539043,211739043,2010,Nov,146739043,225.75,tt1231583,Due Date,"Adventure,Comedy"
"Sep 18, 2015",Everest,65000000,43482270,221297061,2015,Sep,156297061,240.46,tt2719848,Everest,"Action,Adventure,Biography"
"Sep 14, 2012",Resident Evil: Retribution,65000000,42345531,240647629,2012,Sep,175647629,270.23,tt1855325,Resident Evil: Retribution,"Action,Horror,Sci-Fi"
"Oct 3, 2014",Gone Girl,61000000,167767189,368567189,2014,Oct,307567189,504.21,tt2267998,Gone Girl,"Drama,Mystery,Thriller"
"Sep 18, 2015",Maze Runner: The Scorch Trials,61000000,81697192,310566162,2015,Sep,249566162,409.12,tt4046784,Maze Runner: The Scorch Trials,"Action,Sci-Fi,Thriller"
"Feb 7, 2014",The Lego Movie,60000000,257784718,457729388,2014,Feb,397729388,662.88,tt1490017,The Lego Movie,"Action,Adventure,Animation"
"Sep 9, 2016",Sully,60000000,125070033,238524556,2016,Sep,178524556,297.54,tt3263904,Sully,"Biography,Drama"
"Oct 15, 2010",Red,60000000,90380162,196439693,2010,Oct,136439693,227.4,tt2181948,Red,Thriller
"Aug 13, 2010",Eat Pray Love,60000000,80574010,206598789,2010,Aug,146598789,244.33,tt0879870,Eat Pray Love,"Drama,Romance"
"Dec 21, 2012",Jack Reacher,60000000,80070736,217370736,2012,Dec,157370736,262.28,tt0790724,Jack Reacher,"Action,Crime,Thriller"
