,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,release_month,primary_title,original_title,start_year,genres,ROI
235,"Apr 23, 2009",Home,500000,15433,44793168,2009,Apr,Home,Yurt,2011,Drama,8958.6
444,"Mar 23, 2012",The Hunger Games,80000000,408010692,677923379,2012,Mar,The Hunger Games,The Hunger Games,2012,"Action,Adventure,Sci-Fi",847.4
445,"May 26, 2011",The Hangover Part II,80000000,254464305,586464305,2011,May,The Hangover Part II,The Hangover Part II,2011,"Comedy,Mystery",733.1
446,"Feb 10, 2017",The Lego Batman Movie,80000000,175750384,310660018,2017,Feb,The Lego Batman Movie,The Lego Batman Movie,2017,"Action,Animation,Comedy",388.3
447,"Sep 25, 2015",Hotel Transylvania 2,80000000,169700110,469500298,2015,Sep,Hotel Transylvania 2,Hotel Transylvania 2,2015,"Animation,Comedy,Family",586.9
448,"Jul 12, 2013",Grown Ups 2,80000000,133668525,247023808,2013,Jul,Grown Ups 2,Grown Ups 2,2013,Comedy,308.8
449,"Dec 16, 2011",Alvin and the Chipmunks: Chipwrecked,80000000,133107389,349088523,2011,Dec,Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,2011,"Adventure,Animation,Comedy",436.4
450,"Feb 19, 2010",Shutter Island,80000000,128012934,299461782,2010,Feb,Shutter Island,Shutter Island,2010,"Mystery,Thriller",374.3
451,"Dec 17, 2010",Yogi Bear,80000000,100246011,204774690,2010,Dec,Yogi Bear,Yogi Bear,2010,"Adventure,Animation,Comedy",256.0
453,"Oct 17, 2014",Fury,80000000,85817906,210315681,2014,Oct,Fury,Fury,2014,"Action,Drama,War",262.9
454,"Sep 28, 2018",Smallfoot,80000000,83240103,213691277,2018,Sep,Smallfoot,Smallfoot,2018,"Adventure,Animation,Comedy",267.1
455,"Jul 8, 2011",Zookeeper,80000000,80360866,170805525,2011,Jul,Zookeeper,Zookeeper,2011,"Comedy,Family,Romance",213.5
464,"Feb 10, 2012",Journey 2: The Mysterious Island,79000000,103860290,318146162,2012,Feb,Journey 2: The Mysterious Island,Journey 2: The Mysterious Island,2012,"Action,Adventure,Comedy",402.7
466,"Sep 27, 2013",Cloudy with a Chance of Meatballs 2,78000000,119793567,274392649,2013,Sep,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,2013,"Adventure,Animation,Comedy",351.8
470,"Jul 20, 2018",The Equalizer 2,77000000,102084362,190453132,2018,Jul,The Equalizer 2,The Equalizer 2,2018,"Action,Crime,Thriller",247.3
471,"Jul 3, 2013",Despicable Me 2,76000000,368065385,975216835,2013,Jul,Despicable Me 2,Despicable Me 2,2013,"Adventure,Animation,Comedy",1283.2
472,"Jul 8, 2016",The Secret Life of Pets,75000000,368384330,886750534,2016,Jul,The Secret Life of Pets,The Secret Life of Pets,2016,"Adventure,Animation,Comedy",1182.3
473,"Dec 21, 2016",Sing,75000000,270329045,634454789,2016,Dec,Sing,Sing,2016,"Animation,Comedy,Family",845.9
474,"Jun 30, 2017",Despicable Me 3,75000000,264624300,1034727750,2017,Jun,Despicable Me 3,Despicable Me 3,2017,"Adventure,Animation,Comedy",1379.6
475,"Jun 25, 2010",Grown Ups,75000000,162001186,272223430,2010,Jun,Grown Ups,Grown Ups,2010,Comedy,363.0
476,"Jun 27, 2008",Wanted,75000000,134508551,342416460,2008,Jun,Wanted,Wanted,2010,Action,456.6
478,"May 31, 2013",Now You See Me,75000000,117723989,342769200,2013,May,Now You See Me,Now You See Me,2013,"Crime,Mystery,Thriller",457.0
480,"Aug 3, 2018",Christopher Robin,75000000,99215042,197504758,2018,Aug,Christopher Robin,Christopher Robin,2018,"Adventure,Animation,Comedy",263.3
481,"Nov 11, 2011",Immortals,75000000,83504017,211562435,2011,Nov,Immortals,Immortals,2011,"Action,Drama,Fantasy",282.1
488,"Oct 28, 2016",Inferno,75000000,34343574,219519367,2016,Oct,Inferno,Inferno,2018,Documentary,292.7
493,"Jul 10, 2015",Minions,74000000,336045770,1160336173,2015,Jul,Minions,Minions,2015,"Adventure,Animation,Comedy",1568.0
494,"Feb 6, 2015",The SpongeBob Movie: Sponge Out of Water,74000000,162994032,311013181,2015,Feb,The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,2015,"Adventure,Animation,Comedy",420.3
495,"Nov 22, 2000",Unbreakable,73243106,94999143,248099143,2000,Nov,Unbreakable,Unbreakable,2014,"Adventure,Biography,Documentary",338.7
496,"May 20, 2016",The Angry Birds Movie,73000000,107509366,352327887,2016,May,The Angry Birds Movie,Angry Birds,2016,"Action,Animation,Comedy",482.6
501,"Mar 22, 2013",Olympus Has Fallen,70000000,98927592,172878928,2013,Mar,Olympus Has Fallen,Olympus Has Fallen,2013,"Action,Thriller",247.0
502,"Dec 25, 2011",War Horse,70000000,79883359,156815529,2011,Dec,War Horse,War Horse,2011,"Drama,History,War",224.0
504,"Feb 7, 2014",The Monuments Men,70000000,78031620,158702748,2014,Feb,The Monuments Men,The Monuments Men,2014,"Comedy,Drama,History",226.7
505,"Sep 23, 2016",Storks,70000000,72679278,183353431,2016,Sep,Storks,Storks,2016,"Adventure,Animation,Comedy",261.9
508,"Oct 10, 2014",Dracula Untold,70000000,55991880,220241723,2014,Oct,Dracula Untold,Dracula Untold,2014,"Action,Drama,Fantasy",314.6
525,"Jul 9, 2010",Despicable Me,69000000,251513985,543464573,2010,Jul,Despicable Me,Despicable Me,2010,"Animation,Comedy,Family",787.6
527,"Mar 2, 2018",Red Sparrow,69000000,46874505,145951861,2018,Mar,Red Sparrow,Red Sparrow,2018,"Action,Drama,Thriller",211.5
528,"Jun 30, 2010",The Twilight Saga: Eclipse,68000000,300531751,706102828,2010,Jun,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,2010,"Adventure,Drama,Fantasy",1038.4
529,"Jun 26, 2015",Ted 2,68000000,81476385,217214143,2015,Jun,Ted 2,Ted 2,2015,Comedy,319.4
533,"Jun 22, 2012",Abraham Lincoln: Vampire Hunter,67500000,37519139,137489730,2012,Jun,Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,2012,"Action,Fantasy,Horror",203.7
534,"Mar 14, 2014",Need for Speed,66000000,43568507,194169619,2014,Mar,Need for Speed,Need for Speed,2014,"Action,Crime,Thriller",294.2
535,"Dec 15, 2000",What Women Want,65000000,182805123,374105123,2000,Dec,What Women Want,Wo zhi nv ren xin,2011,"Comedy,Romance,Sci-Fi",575.5
536,"Nov 9, 2012",Lincoln,65000000,182207973,273346281,2012,Nov,Lincoln,Lincoln,2012,"Biography,Drama,History",420.5
538,"Mar 15, 2002",Ice Age,65000000,176387405,386116343,2002,Mar,Ice Age,Asre Yakhbandan,2015,"Crime,Drama,Family",594.0
539,"Jul 13, 2018",Hotel Transylvania 3: Summer Vacation,65000000,167500092,527079962,2018,Jul,Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,2018,"Adventure,Animation,Comedy",810.9
